SteamId,Username,Points,ThySirSlime,ThySirSlimePoints,justMaki,justMakiPoints,Diabler,DiablerPoints,PDGamer2502,PDGamer2502Points,[CTR]LexLimbo,[CTR]LexLimboPoints,Spuzzle,SpuzzlePoints,Akane,AkanePoints,Codewalt,CodewaltPoints,ocaj75,ocaj75Points,RuthlessTex,RuthlessTexPoints,Khord,KhordPoints,St Nicholas,St NicholasPoints,Llama_Lordie,Llama_LordiePoints,fabiendivie,fabiendiviePoints,deathcount610,deathcount610Points
76561199043210759,[BL2K]Nicolas_Gamer5476,"=IFERROR(E62 + G62 + I62 + K62 + M62 + O62 + Q62 + S62 + U62 + W62 + Y62 + AA62 + AC62 + AE62 + AG62, 0)",47.02836,0,69.47057,0,,,39.87572,0,76.90129,0,52.066,0,80.7787,0,76.00509,0,95.4332,0,,,50.61055,0,,,,,,,,
76561199173536675,[CTR]OwlPlague,"=IFERROR(E63 + G63 + I63 + K63 + M63 + O63 + Q63 + S63 + U63 + W63 + Y63 + AA63 + AC63 + AE63 + AG63, 0)",47.1511,0,69.3977,0,67.30753,0,40.59251,0,78.0988,0,52.2584,0,79.75021,0,77.90858,0,93.12782,0,89.67001,0,50.43026,0,55.12178,0,65.80182,0,,,55.49603,0
76561198155015234,VirusCookies,"=IFERROR(E64 + G64 + I64 + K64 + M64 + O64 + Q64 + S64 + U64 + W64 + Y64 + AA64 + AC64 + AE64 + AG64, 0)",47.73639,0,69.38749,0,65.93399,0,39.28241,0,77.39271,0,52.74994,0,82.7859,0,75.30333,0,94.90879,0,84.8942,0,49.11071,0,56.27866,0,68.41498,0,62.04195,0,,
76561198847576929,Lightning,"=IFERROR(E65 + G65 + I65 + K65 + M65 + O65 + Q65 + S65 + U65 + W65 + Y65 + AA65 + AC65 + AE65 + AG65, 0)",47.98179,0,69.54689,0,65.77011,0,38.81102,0,77.32352,0,53.18264,0,83.85767,0,78.74622,0,95.41945,0,84.6986,0,49.77775,0,55.35302,0,68.61278,0,64.56812,0,,
76561199242599801,hawk,"=IFERROR(E66 + G66 + I66 + K66 + M66 + O66 + Q66 + S66 + U66 + W66 + Y66 + AA66 + AC66 + AE66 + AG66, 0)",48.16142,0,70.4631,0,,,41.85694,0,80.15901,0,53.78443,0,85.22276,0,,,99.70129,0,,,54.61301,0,75.21205,0,74.68795,0,,,,
76561198104372256,Jakie Cash,"=IFERROR(E67 + G67 + I67 + K67 + M67 + O67 + Q67 + S67 + U67 + W67 + Y67 + AA67 + AC67 + AE67 + AG67, 0)",48.40842,0,69.51176,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76561199177251414,Overlordnoskcaj,"=IFERROR(E68 + G68 + I68 + K68 + M68 + O68 + Q68 + S68 + U68 + W68 + Y68 + AA68 + AC68 + AE68 + AG68, 0)",48.49054,0,71.77113,0,,,,,,,,,,,,,,,,,,,,,,,,,,
76561197965640463,l3it3r,"=IFERROR(E69 + G69 + I69 + K69 + M69 + O69 + Q69 + S69 + U69 + W69 + Y69 + AA69 + AC69 + AE69 + AG69, 0)",48.61591,0,82.69096,0,69.72578,0,44.144,0,80.1781,0,54.94248,0,83.54456,0,74.36014,0,100.9815,0,,,51.44707,0,62.21734,0,75.48959,0,63.92021,0,,
76561198027169155,DeiRex,"=IFERROR(E70 + G70 + I70 + K70 + M70 + O70 + Q70 + S70 + U70 + W70 + Y70 + AA70 + AC70 + AE70 + AG70, 0)",49.28386,0,72.4307,0,74.61668,0,,,,,,,,,,,,,,,,,,,,,,,,
76561198867190922,QUACK_exe,"=IFERROR(E71 + G71 + I71 + K71 + M71 + O71 + Q71 + S71 + U71 + W71 + Y71 + AA71 + AC71 + AE71 + AG71, 0)",49.68875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76561199385430497,Slope_Oak,"=IFERROR(E72 + G72 + I72 + K72 + M72 + O72 + Q72 + S72 + U72 + W72 + Y72 + AA72 + AC72 + AE72 + AG72, 0)",50.07179,0,83.56544,0,,,66.7606,0,129.4407,0,55.76435,0,93.99061,0,83.91447,0,99.60944,0,,,56.91036,0,,,,,,,,
76561198020614715,ThirdEyeInk,"=IFERROR(E73 + G73 + I73 + K73 + M73 + O73 + Q73 + S73 + U73 + W73 + Y73 + AA73 + AC73 + AE73 + AG73, 0)",51.78814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76561198254359106,acew25,"=IFERROR(E74 + G74 + I74 + K74 + M74 + O74 + Q74 + S74 + U74 + W74 + Y74 + AA74 + AC74 + AE74 + AG74, 0)",56.42951,0,,,,,,,99.99687,0,56.38901,0,91.45185,0,113.0341,0,,,,,61.23753,0,,,,,,,,
76561198870312435,NATHAN,"=IFERROR(E75 + G75 + I75 + K75 + M75 + O75 + Q75 + S75 + U75 + W75 + Y75 + AA75 + AC75 + AE75 + AG75, 0)",56.8447,0,,,90.82415,0,,,90.41764,0,61.77013,0,98.69845,0,85.70194,0,,,,,,,,,,,73.93423,0,66.45248,0
76561199217544926,dirtyboy58,"=IFERROR(E76 + G76 + I76 + K76 + M76 + O76 + Q76 + S76 + U76 + W76 + Y76 + AA76 + AC76 + AE76 + AG76, 0)",48.5279,0,,,70.56015,0,43.68346,0,83.78338,0,54.88537,0,84.17146,0,78.45763,0,96.51949,0,96.93766,0,52.11468,0,68.74271,0,70.84484,0,69.44764,0,56.28373,0
76561198448256191,Brittany Spears,"=IFERROR(E77 + G77 + I77 + K77 + M77 + O77 + Q77 + S77 + U77 + W77 + Y77 + AA77 + AC77 + AE77 + AG77, 0)",49.961,0,71.86127,0,70.86063,0,50.3363,0,83.90146,0,53.47237,0,82.69099,0,79.11307,0,96.93017,0,,,52.97096,0,,,,,,,,
76561198031672906,Morkomies,"=IFERROR(E78 + G78 + I78 + K78 + M78 + O78 + Q78 + S78 + U78 + W78 + Y78 + AA78 + AC78 + AE78 + AG78, 0)",53.96164,0,,,84.12759,0,56.02126,0,,,66.42381,0,92.10493,0,96.19691,0,,,,,64.51534,0,,,84.48717,0,78.67698,0,,
76561198049832539,NotFishyy_,"=IFERROR(E79 + G79 + I79 + K79 + M79 + O79 + Q79 + S79 + U79 + W79 + Y79 + AA79 + AC79 + AE79 + AG79, 0)",54.05581,0,76.68578,0,,,63.9467,0,,,,,,,,,,,,,,,,,,,,,,
